sample_type,site,timing,plot,location,ak_content,year,treatment
Biomass,1,Before,a,Lower,60.183447217342014,2021,High Graze
Biomass,1,Before,a,Middle,37.41726534958453,2021,High Graze
Biomass,1,Before,a,Upper,30.04191525382404,2021,High Graze
Biomass,1,Before,b,Lower,47.42933452676366,2021,Control
Biomass,1,Before,b,Middle,28.37470546889006,2021,Control
Biomass,1,Before,b,Upper,24.97599815519385,2021,Control
Biomass,1,Before,c,Lower,48.132074475420595,2021,Regular Graze
Biomass,1,Before,c,Middle,35.45498759016991,2021,Regular Graze
Biomass,1,Before,c,Upper,33.97708654954719,2021,Regular Graze
Biomass,1,Before,d,Lower,45.53354713950533,2021,Mow
Biomass,1,Before,d,Middle,36.629907004341185,2021,Mow
Biomass,1,Before,d,Upper,42.97801855652951,2021,Mow
Biomass,2,Before,a,Lower,31.625377893507448,2021,Regular Graze
Biomass,2,Before,a,Middle,40.40908461244259,2021,Regular Graze
Biomass,2,Before,a,Upper,28.78389277301807,2021,Regular Graze
Biomass,2,Before,b,Lower,53.50248134696676,2021,High Graze
Biomass,2,Before,b,Middle,76.11472216393334,2021,High Graze
Biomass,2,Before,b,Upper,45.05701184856246,2021,High Graze
Biomass,2,Before,c,Lower,70.51844899513371,2021,Mow
Biomass,2,Before,c,Middle,56.21685057154376,2021,Mow
Biomass,2,Before,c,Upper,37.33874012007861,2021,Mow
Biomass,2,Before,d,Lower,48.94754914168705,2021,Control
Biomass,2,Before,d,Middle,38.94991725193937,2021,Control
Biomass,2,Before,d,Upper,40.329691534953064,2021,Control
Litter,3,Before,a,Lower,37.604578930104886,2021,Regular Graze
Litter,3,Before,a,Middle,44.76593968259892,2021,Regular Graze
Litter,3,Before,a,Upper,32.20510348762243,2021,Regular Graze
Litter,3,Before,b,Lower,41.88981188101804,2021,Control
Litter,3,Before,b,Middle,57.192015295865076,2021,Control
Litter,3,Before,b,Upper,45.761288751589014,2021,Control
Litter,3,Before,c,Middle,32.41660149345164,2021,High Graze
Litter,3,Before,c,Upper,42.069713102280524,2021,High Graze
Litter,3,Before,d,Lower,58.68890413154435,2021,Mow
Litter,3,Before,d,Middle,38.80590068344338,2021,Mow
Litter,3,Before,d,Upper,42.82172684165468,2021,Mow
Biomass,3,Before,a,Lower,70.27470794386495,2021,Regular Graze
Biomass,3,Before,a,Middle,54.757644573750106,2021,Regular Graze
Biomass,3,Before,a,Upper,45.446407136675205,2021,Regular Graze
Biomass,3,Before,b,Lower,63.74218798243837,2021,Control
Biomass,3,Before,b,Middle,67.11516438544422,2021,Control
Biomass,3,Before,b,Upper,81.83759422735505,2021,Control
Biomass,3,Before,c,Lower,66.61968316628193,2021,High Graze
Biomass,3,Before,c,Middle,67.1488685683059,2021,High Graze
Biomass,3,Before,c,Upper,81.92310583369247,2021,High Graze
Biomass,3,Before,d,Lower,105.9425653109804,2021,Mow
Biomass,3,Before,d,Middle,82.69960453778094,2021,Mow
Biomass,3,Before,d,Upper,88.8284348826973,2021,Mow
Biomass,4,Before,a,Lower,70.84022736599063,2021,Regular Graze
Biomass,4,Before,a,Middle,58.42766014421078,2021,Regular Graze
Biomass,4,Before,a,Upper,92.1058698223212,2021,Regular Graze
Biomass,4,Before,b,Lower,50.018261547897744,2021,High Graze
Biomass,4,Before,b,Middle,94.54116781586123,2021,High Graze
Biomass,4,Before,b,Upper,78.93545183989723,2021,High Graze
Biomass,4,Before,c,Lower,69.63575168531553,2021,Control
Biomass,4,Before,c,Middle,75.86254763950694,2021,Control
Biomass,4,Before,c,Upper,66.51682415086883,2021,Control
Biomass,4,Before,d,Lower,86.60319440199352,2021,Mow
Biomass,4,Before,d,Middle,54.46837361321422,2021,Mow
Biomass,4,Before,d,Upper,38.894537806860505,2021,Mow
Litter,4,Before,a,Lower,62.416391703350556,2021,Regular Graze
Litter,4,Before,a,Middle,102.66978347440835,2021,Regular Graze
Litter,4,Before,a,Upper,39.4159067233464,2021,Regular Graze
Litter,4,Before,b,Lower,43.03874048389328,2021,High Graze
Litter,4,Before,b,Middle,38.75687991639627,2021,High Graze
Litter,4,Before,b,Upper,33.30385722763002,2021,High Graze
Litter,4,Before,c,Lower,23.96312762630799,2021,Control
Litter,4,Before,c,Middle,27.17706512226867,2021,Control
Litter,4,Before,c,Upper,29.573704266941004,2021,Control
Litter,4,Before,d,Lower,25.655251531600403,2021,Mow
Litter,4,Before,d,Middle,22.236252894607812,2021,Mow
Litter,4,Before,d,Upper,13.383534724298828,2021,Mow
Biomass,1,After,a,Lower,46.93729387701865,2021,High Graze
Biomass,1,After,a,Middle,46.018999108046515,2021,High Graze
Biomass,1,After,a,Upper,50.62129851235197,2021,High Graze
Biomass,1,After,b,Lower,76.18745737948237,2021,Control
Biomass,1,After,b,Middle,58.807169999815265,2021,Control
Biomass,1,After,b,Upper,58.453431793571596,2021,Control
Biomass,1,After,c,Lower,46.74372997473899,2021,Regular Graze
Biomass,1,After,c,Middle,49.97198884650846,2021,Regular Graze
Biomass,1,After,c,Upper,52.6188464908887,2021,Regular Graze
Biomass,1,After,d,Lower,59.148959050555035,2021,Mow
Biomass,1,After,d,Middle,48.6883771917458,2021,Mow
Biomass,1,After,d,Upper,70.8383328349933,2021,Mow
Litter,1,After,a,Lower,56.58593899525125,2021,High Graze
Litter,1,After,a,Middle,46.319784978501964,2021,High Graze
Litter,1,After,a,Upper,57.92633138289114,2021,High Graze
Litter,1,After,b,Lower,49.073400834644566,2021,Control
Litter,1,After,b,Middle,49.39394720230748,2021,Control
Litter,1,After,b,Upper,46.91536509048981,2021,Control
Litter,1,After,c,Lower,41.6145191702787,2021,Regular Graze
Litter,1,After,c,Middle,30.314166136403088,2021,Regular Graze
Litter,1,After,c,Upper,39.53039527027822,2021,Regular Graze
Litter,1,After,d,Lower,44.17581900659499,2021,Mow
Litter,1,After,d,Middle,26.646426480454725,2021,Mow
Litter,1,After,d,Upper,36.11631247286898,2021,Mow
Litter,2,After,a,Lower,51.09546290196297,2021,Regular Graze
Litter,3,After,a,Lower,62.0902166601088,2021,Regular Graze
Litter,3,After,a,Middle,93.57342926489758,2021,Regular Graze
Litter,3,After,a,Upper,48.798539376560136,2021,Regular Graze
Litter,3,After,b,Lower,49.99644825399343,2021,Control
Litter,3,After,b,Middle,66.38327763246116,2021,Control
Litter,3,After,b,Upper,70.4635451963585,2021,Control
Litter,3,After,c,Lower,74.89103638646839,2021,High Graze
Litter,3,After,c,Middle,76.2390699675504,2021,High Graze
Litter,3,After,c,Upper,67.62827519394452,2021,High Graze
Litter,3,After,d,Lower,56.51845211101263,2021,Mow
Biomass,3,After,a,Lower,140.21631621866345,2021,Regular Graze
Biomass,3,After,a,Middle,93.61333083144577,2021,Regular Graze
Biomass,3,After,a,Upper,74.075165212028,2021,Regular Graze
Biomass,3,After,b,Lower,106.66156785575214,2021,Control
Biomass,3,After,b,Middle,124.67727544890528,2021,Control
