site,plot,location,sample_type,length_cm,bd,treatment
3,a,Upper,LFH,1,436.2280193568423,Regular Graze
3,a,Upper,Ah,10,412.6334286931131,Regular Graze
3,a,Middle,LFH,1,301.83533602983186,Regular Graze
3,a,Middle,Ah,10,397.1908129598189,Regular Graze
3,a,Lower,LFH,2,283.7666160419946,Regular Graze
3,a,Lower,Ah,10,384.88127818752247,Regular Graze
3,b,Upper,LFH,1,417.70319575766166,Control
3,b,Upper,Ah,10,326.207057077504,Control
3,b,Middle,LFH,1,310.86969602375046,Control
3,b,Middle,Ah,10,356.6993377404735,Control
3,b,Lower,LFH,2,215.04408152514787,Control
3,b,Lower,Ah,10,414.28768140656274,Control
3,c,Upper,LFH,1,558.9549757014142,High Graze
3,c,Upper,Ah,10,474.2846029894773,High Graze
3,c,Middle,LFH,1,600.3376072075384,High Graze
3,c,Middle,Ah,10,510.5764164951449,High Graze
3,c,Lower,LFH,2,470.2165096252254,High Graze
3,c,Lower,Ah,10,486.5730868258656,High Graze
3,d,Upper,LFH,1,454.5598760435315,Mow
3,d,Upper,Ah,10,522.575449962796,Mow
3,d,Middle,LFH,1,515.5549628374247,Mow
3,d,Middle,Ah,10,529.8117091812259,Mow
3,d,Lower,LFH,2,448.823496008558,Mow
3,d,Lower,Ah,10,398.0065367262601,Mow
1,a,Upper,LFH,1,537.34268150237,High Graze
1,a,Upper,Ah,10,432.69497061358953,High Graze
1,a,Middle,LFH,1,229.57799852507318,High Graze
1,a,Middle,Ah,10,375.88551157610215,High Graze
1,a,Lower,LFH,2,251.44465819967422,High Graze
1,a,Lower,Ah,10,350.18758156621595,High Graze
1,b,Upper,LFH,1.5,559.931505228265,Control
1,b,Upper,Ah,10,545.6963945685915,Control
1,b,Middle,LFH,1,534.2727533490968,Control
1,b,Middle,Ah,10,443.4853295111804,Control
1,b,Lower,LFH,2,59.48643638714169,Control
1,b,Lower,Ah,10,267.7819387090653,Control
1,c,Upper,LFH,1,416.42259715658196,Regular Graze
1,c,Upper,Ah,10,568.3226421805452,Regular Graze
1,c,Middle,LFH,1,468.61137576222825,Regular Graze
1,c,Middle,Ah,10,408.3320207892125,Regular Graze
1,c,Lower,LFH,2,143.8568332623873,Regular Graze
1,c,Lower,Ah,10,173.88950182469534,Regular Graze
1,d,Upper,LFH,1.5,573.6380034973557,Mow
1,d,Upper,Ah,10,539.4653175397762,Mow
1,d,Middle,LFH,1,383.2673731012302,Mow
1,d,Middle,Ah,10,316.69729678099276,Mow
1,d,Lower,LFH,2,107.41240047138558,Mow
1,d,Lower,Ah,10,266.5066028419626,Mow
2,a,Upper,LFH,1,422.4571987835878,Regular Graze
2,a,Upper,Ah,10,505.1873769026559,Regular Graze
2,a,Middle,LFH,1,396.932938994944,Regular Graze
2,a,Middle,Ah,10,443.7256610294652,Regular Graze
2,a,Lower,LFH,2,222.73644435492128,Regular Graze
2,a,Lower,Ah,10,480.74022333464626,Regular Graze
2,b,Upper,LFH,1,205.17645531819792,High Graze
2,b,Upper,Ah,10,429.03912474420576,High Graze
2,b,Middle,LFH,1,496.3459838212288,High Graze
2,b,Middle,Ah,10,518.5512127150195,High Graze
2,b,Lower,LFH,2,201.99250126208875,High Graze
2,b,Lower,Ah,10,442.13806961305824,High Graze
2,c,Upper,LFH,1.5,432.31605376724264,Mow
2,c,Upper,Ah,10,435.9368147434461,Mow
2,c,Middle,LFH,1,272.3113984186377,Mow
2,c,Middle,Ah,10,410.8388364069425,Mow
2,c,Lower,LFH,2,263.1103851821128,Mow
2,c,Lower,Ah,10,515.2058681502809,Mow
2,d,Upper,LFH,1.5,458.1853150054924,Control
2,d,Upper,Ah,10,527.2891053615647,Control
2,d,Middle,LFH,1.5,553.8969036012592,Control
2,d,Middle,Ah,10,526.0242949624161,Control
2,d,Lower,LFH,2,402.80088737934346,Control
2,d,Lower,Ah,10,540.1442102228144,Control
4,a,Upper,LFH,1,427.4041687220053,Regular Graze
4,a,Upper,Ah,10,558.3848461872349,Regular Graze
4,a,Middle,LFH,1.5,428.05908672803696,Regular Graze
4,a,Middle,Ah,10,432.1160698761151,Regular Graze
4,a,Lower,LFH,2,161.33788128945505,Regular Graze
4,a,Lower,Ah,10,357.23613660613154,Regular Graze
4,b,Upper,LFH,1.5,607.2142462708706,High Graze
4,b,Upper,Ah,10,489.6202097985717,High Graze
4,b,Middle,LFH,1,370.5841842165638,High Graze
4,b,Middle,Ah,10,528.4521695704905,High Graze
4,b,Lower,LFH,2,382.17097018934686,High Graze
4,b,Lower,Ah,10,546.2717868167479,High Graze
4,c,Upper,LFH,1.5,516.4262376847346,Control
4,c,Upper,Ah,10,443.44498188402315,Control
4,c,Middle,LFH,1.5,411.6627466484591,Control
4,c,Middle,Ah,10,449.2971420664915,Control
4,c,Lower,LFH,2,177.80146741429505,Control
4,c,Lower,Ah,10,518.2179062298069,Control
4,d,Upper,LFH,1,363.3040688816587,Mow
4,d,Upper,Ah,10,426.1270786102436,Mow
4,d,Middle,LFH,1,387.37230560332137,Mow
4,d,Middle,Ah,10,388.5371240569062,Mow
4,d,Lower,LFH,2,186.37095257357512,Mow
4,d,Lower,Ah,10,463.57493934620095,Mow
