sample_type,site,timing,plot,location,dryweight,year,treatment
Biomass,1,Before,a,Upper,82.83,2019,High Graze
Biomass,1,Before,a,Middle,65.94,2019,High Graze
Biomass,1,Before,a,Lower,98.18,2019,High Graze
Biomass,1,Before,b,Upper,47.089999999999996,2019,Control
Biomass,1,Before,b,Middle,66.59,2019,Control
Biomass,1,Before,b,Lower,105.68,2019,Control
Biomass,1,Before,c,Upper,60.86000000000001,2019,Regular Graze
Biomass,1,Before,c,Middle,70.17,2019,Regular Graze
Biomass,1,Before,c,Lower,102.89,2019,Regular Graze
Biomass,1,Before,d,Upper,45.48,2019,Mow
Biomass,1,Before,d,Middle,72.6,2019,Mow
Biomass,1,Before,d,Lower,111.82000000000001,2019,Mow
Biomass,2,Before,a,Upper,48.959999999999994,2019,Regular Graze
Biomass,2,Before,a,Middle,81.17,2019,Regular Graze
Biomass,2,Before,a,Lower,124.6,2019,Regular Graze
Biomass,2,Before,b,Upper,57.07,2019,High Graze
Biomass,2,Before,b,Middle,41.760000000000005,2019,High Graze
Biomass,2,Before,b,Lower,85.39,2019,High Graze
Biomass,2,Before,c,Upper,49.49,2019,Mow
Biomass,2,Before,c,Middle,90.77000000000001,2019,Mow
Biomass,2,Before,c,Lower,98.56,2019,Mow
Biomass,2,Before,d,Upper,110.35,2019,Control
Biomass,2,Before,d,Middle,62.5,2019,Control
Biomass,2,Before,d,Lower,102.87,2019,Control
Biomass,3,Before,a,Upper,51.559999999999995,2019,Regular Graze
Biomass,3,Before,a,Middle,63.510000000000005,2019,Regular Graze
Biomass,3,Before,a,Lower,79.82,2019,Regular Graze
Biomass,3,Before,b,Upper,58.05,2019,Control
Biomass,3,Before,b,Middle,45.730000000000004,2019,Control
Biomass,3,Before,b,Lower,65.6,2019,Control
Biomass,3,Before,c,Upper,43.34,2019,High Graze
Biomass,3,Before,c,Middle,49.76,2019,High Graze
Biomass,3,Before,c,Lower,81.64999999999999,2019,High Graze
Biomass,3,Before,d,Upper,33.54,2019,Mow
Biomass,3,Before,d,Middle,83.19999999999999,2019,Mow
Biomass,3,Before,d,Lower,78.02,2019,Mow
Biomass,4,Before,a,Upper,92.16,2019,Regular Graze
Biomass,4,Before,a,Middle,79,2019,Regular Graze
Biomass,4,Before,a,Lower,80.75,2019,Regular Graze
Biomass,4,Before,b,Upper,83.41,2019,High Graze
Biomass,4,Before,b,Middle,80.83,2019,High Graze
Biomass,4,Before,b,Lower,122.89,2019,High Graze
Biomass,4,Before,c,Upper,86.93,2019,Control
Biomass,4,Before,c,Middle,59.11,2019,Control
Biomass,4,Before,c,Lower,136.79,2019,Control
Biomass,4,Before,d,Upper,68.31,2019,Mow
Biomass,4,Before,d,Middle,94.78,2019,Mow
Biomass,4,Before,d,Lower,83.21,2019,Mow
Biomass,1,After,a,Upper,8.64,2019,High Graze
Biomass,1,After,a,Middle,25.480000000000004,2019,High Graze
Biomass,1,After,a,Lower,87.41999999999999,2019,High Graze
Biomass,1,After,b,Upper,37.04,2019,Control
Biomass,1,After,b,Middle,83.24,2019,Control
Biomass,1,After,b,Lower,81.57,2019,Control
Biomass,1,After,c,Upper,51.53,2019,Regular Graze
Biomass,1,After,c,Middle,74.36000000000001,2019,Regular Graze
Biomass,1,After,c,Lower,60.55,2019,Regular Graze
Biomass,1,After,d,Upper,32.129999999999995,2019,Mow
Biomass,1,After,d,Middle,47.97,2019,Mow
Biomass,1,After,d,Lower,35.69,2019,Mow
Biomass,2,After,a,Upper,37.019999999999996,2019,Regular Graze
Biomass,2,After,a,Middle,46.64,2019,Regular Graze
Biomass,2,After,a,Lower,69.22,2019,Regular Graze
Biomass,2,After,b,Upper,33.91,2019,High Graze
Biomass,2,After,b,Middle,12.040000000000001,2019,High Graze
Biomass,2,After,b,Lower,68.25,2019,High Graze
Biomass,2,After,c,Upper,34.8,2019,Mow
Biomass,2,After,c,Middle,49.03,2019,Mow
Biomass,2,After,c,Lower,33.93000000000001,2019,Mow
Biomass,2,After,d,Upper,31.310000000000002,2019,Control
Biomass,2,After,d,Middle,36.69,2019,Control
Biomass,2,After,d,Lower,91.9,2019,Control
Biomass,3,After,a,Upper,83.21,2019,Regular Graze
Biomass,3,After,a,Middle,61.06,2019,Regular Graze
Biomass,3,After,a,Lower,29.509999999999998,2019,Regular Graze
Biomass,3,After,b,Upper,55.88,2019,Control
Biomass,3,After,b,Middle,71.82000000000001,2019,Control
Biomass,3,After,b,Lower,33.269999999999996,2019,Control
Biomass,3,After,c,Upper,17.000000000000004,2019,High Graze
Biomass,3,After,c,Middle,45.64,2019,High Graze
Biomass,3,After,c,Lower,46.760000000000005,2019,High Graze
Biomass,3,After,d,Upper,38.83,2019,Mow
Biomass,3,After,d,Middle,28.250000000000004,2019,Mow
Biomass,3,After,d,Lower,101.39999999999999,2019,Mow
Biomass,4,After,a,Upper,70.31,2019,Regular Graze
Biomass,4,After,a,Middle,35.93000000000001,2019,Regular Graze
Biomass,4,After,a,Lower,85.99000000000001,2019,Regular Graze
Biomass,4,After,b,Upper,37.7,2019,High Graze
Biomass,4,After,b,Middle,17.299999999999997,2019,High Graze
Biomass,4,After,b,Lower,30.440000000000005,2019,High Graze
Biomass,4,After,c,Upper,42.76,2019,Control
Biomass,4,After,c,Middle,50.53,2019,Control
Biomass,4,After,c,Lower,84.88,2019,Control
Biomass,4,After,d,Upper,41.540000000000006,2019,Mow
Biomass,4,After,d,Middle,46.870000000000005,2019,Mow
Biomass,4,After,d,Lower,35.599999999999994,2019,Mow
Litter,1,Before,a,Upper,65.1,2019,High Graze
Litter,1,Before,a,Middle,216.88,2019,High Graze
Litter,1,Before,a,Lower,188.83,2019,High Graze
Litter,1,Before,b,Upper,78.14,2019,Control
Litter,1,Before,b,Middle,225.32999999999998,2019,Control
Litter,1,Before,b,Lower,182.12,2019,Control
Litter,1,Before,c,Upper,87.64,2019,Regular Graze
Litter,1,Before,c,Middle,188.71,2019,Regular Graze
Litter,1,Before,c,Lower,197.85000000000002,2019,Regular Graze
Litter,1,Before,d,Upper,70.69,2019,Mow
Litter,1,Before,d,Middle,108.07,2019,Mow
Litter,1,Before,d,Lower,219.31,2019,Mow
Litter,2,Before,a,Upper,200.93,2019,Regular Graze
Litter,2,Before,a,Middle,165.33,2019,Regular Graze
Litter,2,Before,a,Lower,143.78,2019,Regular Graze
Litter,2,Before,b,Upper,223.93,2019,High Graze
Litter,2,Before,b,Middle,138.36,2019,High Graze
Litter,2,Before,b,Lower,293,2019,High Graze
Litter,2,Before,c,Upper,86.29,2019,Mow
Litter,2,Before,c,Middle,175.60999999999999,2019,Mow
Litter,2,Before,c,Lower,276.89,2019,Mow
Litter,2,Before,d,Upper,74.78,2019,Control
Litter,2,Before,d,Middle,123.98999999999998,2019,Control
Litter,2,Before,d,Lower,221.85000000000002,2019,Control
Litter,3,Before,a,Upper,80.06,2019,Regular Graze
